MaterialDescription,Quantity,UoM,PlantCode,PostingDate,TotalCost,VendorName
Diesel - High Speed,71925.0,kWh,Plant_A,2023-07-16,115098.25,Total
Petrol Unleaded,1337.67,Gal,Plant_A,2023-03-19,2110.21,Local Supplier
Petrol Unleaded,192.25,Gal,Plant_B,2023-10-23,285.89,Total
Heating Oil,2093.64,kWh,Plant_A,2023-05-03,3503.86,BP
LPG,3245.18,L,HQ_London,2023-06-25,5559.16,Shell
Petrol Unleaded,1313.79,L,Plant_B,2023-06-30,2933.05,Total
Petrol Unleaded,796.17,Liters,Plant_A,2023-05-29,1070.14,Total
Diesel - High Speed,3938.89,Liters,Plant_A,2023-03-14,8375.8,Shell
Petrol Unleaded,4329.97,L,Plant_B,2023-03-06,7890.17,Local Supplier
LPG,1152.43,kWh,Plant_B,2023-06-19,2504.75,Total
