TripID,ExpenseType,Distance,DistanceUnit,Origin,Destination,TravelDate,CabinClass
TRP-10101,Flight,3575.2,km,LHR,DXB,11-08-2023,Standard
TRP-10102,Flight,4995.9,km,DXB,CDG,16-04-2023,Standard
TRP-10103,Flight,835.7,km,DXB,MUC,24-12-2023,Standard
TRP-10104,Flight,4080.6,km,JFK,DXB,05-07-2023,Business
TRP-10105,Flight,4845.9,km,DXB,MUC,27-09-2023,Standard
TRP-10106,Hotel,0.0,km,,LHR,16-11-2023,Business
TRP-10107,Hotel,0.0,km,,MUC,28-09-2023,Business
TRP-10108,Flight,7984.2,km,DXB,LHR,12-07-2023,Economy
TRP-10109,Flight,3363.8,km,JFK,MUC,15-03-2023,Business
TRP-10110,Hotel,0.0,km,,DXB,14-08-2023,Standard
TRP-10111,Flight,7629.9,km,LHR,DXB,17-04-2023,Standard
TRP-10112,Flight,4651.2,km,MUC,LHR,20-02-2023,Economy
TRP-10113,Flight,1462.6,km,CDG,LHR,27-04-2023,Economy
TRP-10114,Flight,692.2,km,LHR,MUC,07-09-2023,Business
TRP-10115,Flight,4851.6,km,DXB,MUC,21-12-2023,Standard
TRP-10116,Flight,7535.6,km,CDG,MUC,02-12-2023,Standard
TRP-10117,Train,2656.2,km,CDG,LHR,08-02-2023,Economy
TRP-10118,Hotel,0.0,km,,DXB,07-12-2023,Standard
TRP-10119,Flight,2928.3,km,MUC,CDG,05-02-2023,Economy
TRP-10120,Flight,999999.0,km,MUC,LHR,08-10-2023,Economy
TRP-10121,Flight,2214.1,km,LHR,JFK,14-01-2023,Economy
TRP-10122,Train,3663.8,km,JFK,LHR,17-02-2023,Business
TRP-10123,Hotel,0.0,km,,CDG,31-01-2023,Standard
TRP-10124,Flight,6673.5,km,DXB,LHR,23-09-2023,Business
TRP-10125,Hotel,0.0,km,,DXB,19-04-2023,Business
TRP-10126,Hotel,0.0,km,,CDG,10-06-2023,Standard
TRP-10127,Flight,1181.0,km,JFK,LHR,12-01-2023,Standard
TRP-10128,Hotel,0.0,km,,CDG,18-10-2023,Standard
TRP-10129,Flight,6508.3,km,DXB,LHR,19-08-2023,Economy
TRP-10130,Flight,6094.7,km,JFK,CDG,03-06-2023,Business
TRP-10131,Flight,3436.0,km,CDG,MUC,18-06-2023,Standard
TRP-10132,Flight,2885.7,km,DXB,CDG,19-04-2023,Economy
TRP-10133,Flight,6459.3,km,MUC,DXB,19-07-2023,Economy
TRP-10134,Flight,3045.3,km,LHR,MUC,09-09-2023,Economy
TRP-10135,Hotel,0.0,km,,CDG,27-12-2023,Economy
TRP-10136,Flight,1398.2,km,CDG,JFK,11-01-2023,Business
TRP-10137,Flight,2268.3,km,DXB,CDG,26-03-2023,Business
TRP-10138,Flight,5189.4,km,MUC,DXB,08-04-2023,Business
TRP-10139,Hotel,0.0,km,,MUC,03-12-2023,Economy
TRP-10140,Flight,4881.4,km,MUC,CDG,17-02-2023,Business
TRP-10141,Flight,2589.2,km,JFK,DXB,03-01-2023,Business
TRP-10142,Flight,4486.2,km,MUC,JFK,16-12-2023,Business
TRP-10143,Flight,3844.1,km,MUC,JFK,13-09-2023,Business
TRP-10144,Flight,3658.1,km,MUC,LHR,27-01-2023,Business
TRP-10145,Flight,5442.5,km,LHR,DXB,27-04-2023,Business
TRP-10146,Hotel,0.0,km,,JFK,06-12-2023,Business
TRP-10147,Flight,3990.5,km,CDG,LHR,26-02-2023,Standard
TRP-10148,Flight,5979.4,km,MUC,LHR,26-04-2023,Business
TRP-10149,Flight,1692.3,km,JFK,DXB,09-11-2023,Standard
